Title,Company,Location,Experience,Posted,Skills,URL,Hiring_Status,Salary,Scraped_At
Software Engineer Fresher,Karnataka Information Solution,"Bangalore, Chennai+1",0 to 4 Years,posted1 week ago,"css, javascript, html, web designing, jquery, asp.net, hibernate, python, java,, css, javascript, html, web designing, jquery, asp.net, hibernate, python, java, ",https://www.shine.com/jobs/software-engineer-fresher/karnataka-information-solution/17280702,,,25-06-2025 10:31
Software Engineer,AppSoft Solutions,"Bangalore, Noida+3",0 to 4 Years,posted3 days ago,"java, sql server, azure, aws, spring boot, sql, core java, pl/sql,, java, sql server, azure, aws, spring boot, sql, core java, pl/sql, ",https://www.shine.com/jobs/software-engineer/appsoft-solutions/16949226,,,25-06-2025 10:31
Software Engineer Intern (Product),Teal India,All India,0 to 4 Years,posted1 week ago,"MongoDB, JS, TS,Nodejs, Expressjs, Nextjs, React, MongoDB, JS, TS, Nodejs, Expressjs, Nextjs, React",https://www.shine.com/jobs/software-engineer-intern-product/teal-india/17296027,ACTIVELY HIRING,,25-06-2025 10:31
Software Engineer(PHP Developer),Essence Group,All India,1 to 5 Years,posted0 days ago,"jQuery, Javascript, CSS, HTML, MySQL, Core PHP,PHP Framework CodeIgniter, jQuery, Javascript, CSS, HTML, MySQL, Core PHP, PHP Framework CodeIgniter",https://www.shine.com/jobs/software-engineerphp-developer/essence-group/17350351,ACTIVELY HIRING,,25-06-2025 10:31
"Software Engineer, PhD, Early Career, Campus, 2025 Start",Google,"Maharashtra, Pune",0 to 4 Years,posted0 days ago,"C, Java, Python, multithreading, synchronization, performance analysis, reliability analysis, debugging, algorithms, architecture, artificial intelligence, compilers, database, data mining, machine learning, networking, systems, microcontrollers, SoC, device drivers, hardware, power management, performance optimization, file systems, firmware, x86 assembly,architecting distributed systems, developing distributed systems, concurrency, systems data analysis, visualization tools, code health, system health, diagnosis , resolution, software test engineering, UnixLinux, Kernel development, ARM processors, bootloading, system BIOS, hardwaresoftware integration, C, Java, Python, multithreading, synchronization, performance analysis, reliability analysis, debugging, algorithms, architecture, artificial intelligence, compilers, database, data mining, machine learning, networking, systems, microcontrollers, SoC, device drivers, hardware, power management, performance optimization, file systems, firmware, x86 assembly, architecting distributed systems, developing distributed systems, concurrency, systems data analysis, visualization tools, code health, system health, diagnosis, resolution, software test engineering, UnixLinux, Kernel development, ARM processors, bootloading, system BIOS, hardwaresoftware integration",https://www.shine.com/jobs/software-engineer-phd-early-career-campus-start/google/17353500,ACTIVELY HIRING,,25-06-2025 10:31
Software Engineer  ColdFusion,Neologix Software Solutions,"Kerala, Thiruvananthapuram",1 to 5 Years,posted4 days ago,"Coldbox, Fusebox, MySql,MSSQL, Coldbox, Fusebox, MySql, MSSQL",https://www.shine.com/jobs/software-engineer-coldfusion/neologix-software-solutions/17331374,ACTIVELY HIRING,,25-06-2025 10:31
Software Engineers / Software Developers - Microsoft Technologies,Kott Software Pvt.Ltd,"Kochi, Kerala",1 to 5 Years,posted4 days ago,"Rest API, Stored procedures, SAAS,ASPnet, C development, Web API, Web Forms, Telerik RAD controls, Telerik Reporting, MSSQL Server, Query, Functions, Cloudbased applications, Rest API, Stored procedures, SAAS, ASPnet, C development, Web API, Web Forms, Telerik RAD controls, Telerik Reporting, MSSQL Server, Query, Functions, Cloudbased applications",https://www.shine.com/jobs/software-engineers-software-developers-microsoft-technologies/kott-software-pvtltd/17332417,ACTIVELY HIRING,,25-06-2025 10:31
Software Engineer Intern,Indian Library,"Maharashtra, Thane",0 to 4 Years,posted4 days ago,"Python, HTML, CSS, Programming, Analytical skills,Computer Science principles, BackEnd Web Development, NextJS, Nodejs, React, Databases like SQLite, ObjectOriented Programming OOP, Problemsolving, Python, HTML, CSS, Programming, Analytical skills, Computer Science principles, BackEnd Web Development, NextJS, Nodejs, React, Databases like SQLite, ObjectOriented Programming OOP, Problemsolving",https://www.shine.com/jobs/software-engineer-intern/indian-library/17330568,ACTIVELY HIRING,,25-06-2025 10:31
Full Stack Software Engineer  Geospatial Platform,Qcentro,"Kerala, Thiruvananthapuram",1 to 5 Years,posted4 days ago,"Python, AWS, Data Processing, API Development, Database Systems, Troubleshooting, RESTful APIs, Git,Springboot, Vuejs, Geographic Information Systems GIS, Frontend Development, Backend Development, UIUX Design, Geospatial Algorithms, Data Processing Pipelines, AWS Cloud Infrastructure, Code Reviews, Software Development Lifecycle, GIS Tools , Libraries, PostgreSQL with PostGIS, Cloud Platforms, Map Projections, Spatial Analysis Techniques, Python, AWS, Data Processing, API Development, Database Systems, Troubleshooting, RESTful APIs, Git, Springboot, Vuejs, Geographic Information Systems GIS, Frontend Development, Backend Development, UIUX Design, Geospatial Algorithms, Data Processing Pipelines, AWS Cloud Infrastructure, Code Reviews, Software Development Lifecycle, GIS Tools, Libraries, PostgreSQL with PostGIS, Cloud Platforms, Map Projections, Spatial Analysis Techniques",https://www.shine.com/jobs/full-stack-software-engineer-geospatial-platform/qcentro/17332294,ACTIVELY HIRING,,25-06-2025 10:31
Product Software Engineer (Fullstack Java with Angular with 4+ years of exp only),Wolters Kluwer,"Maharashtra, Pune",1 to 5 Years,posted4 days ago,"Spring boot, JavaScript, Oracle, MS SQL, NoSQL, Microsoft Azure, Angular, Kendo UI, REST API, Object oriented programming, Data structures, Dependency injection, Multithreading, GIT,Typescript, Web API, Service Oriented Architecture, Agile Software Development, GitHub Copilot, Unit test frameworks, Spring boot, JavaScript, Oracle, MS SQL, NoSQL, Microsoft Azure, Angular, Kendo UI, REST API, Object oriented programming, Data structures, Dependency injection, Multithreading, GIT, Typescript, Web API, Service Oriented Architecture, Agile Software Development, GitHub Copilot, Unit test frameworks",https://www.shine.com/jobs/product-software-engineer-fullstack-java-with-angular-with-4-years-of-exp-only/wolters-kluwer/17327803,ACTIVELY HIRING,,25-06-2025 10:31
Software Engineer,PharmIT Services,"Udupi, Karnataka",0 to 4 Years,posted1 day ago,"MySQL,, MySQL, ",https://www.shine.com/jobs/software-engineer/pharmit-services/17345399,ACTIVELY HIRING,,25-06-2025 10:31
Software Engineer Intern,TechKareer,"Faridabad, Haryana",0 to 4 Years,posted1 day ago,"problem solving, java, json, data structures, azure, sql, algorithms, python, debugging, aws, git,objectoriented programming, restful api, problem solving, java, json, data structures, azure, sql, algorithms, python, debugging, aws, git, objectoriented programming, restful api",https://www.shine.com/jobs/software-engineer-intern/techkareer/17345815,ACTIVELY HIRING,,25-06-2025 10:31
Software Engineer Trainee- Java Developer,AIRDIT Software Services Information,Karnataka,0 to 4 Years,posted1 week ago,"Advanced Java, OOPs, DBMS, SQL,, Advanced Java, OOPs, DBMS, SQL, ",https://www.shine.com/jobs/software-engineer-trainee-java-developer/airdit-software-services-information/17305933,ACTIVELY HIRING,,25-06-2025 10:31
Senior Software Engineer Team Lead,NSKH Tech,"Jaipur, Rajasthan",1 to 6 Years,posted4 days ago,"AWS, Redis, RESTful APIs, Git, Docker,NestJS, Nodejs, BullMQ, CICD, AWS, Redis, RESTful APIs, Git, Docker, NestJS, Nodejs, BullMQ, CICD",https://www.shine.com/jobs/senior-software-engineer-team-lead/nskh-tech/17335579,ACTIVELY HIRING,,25-06-2025 10:31
Associate Software Engineer - Java Backend,Makinus,Tamil Nadu,1 to 5 Years,posted6 days ago,"JUnit, Git, Jira, MySQL, PostgreSQL, Maven, Gradle, Docker,Java 811, VSCodeIntelliJ, JUnit, Git, Jira, MySQL, PostgreSQL, Maven, Gradle, Docker, Java 811, VSCodeIntelliJ",https://www.shine.com/jobs/associate-software-engineer-java-backend/makinus/17320479,ACTIVELY HIRING,,25-06-2025 10:31
Associate Software Engineer - PHP,Makinus,Tamil Nadu,1 to 5 Years,posted6 days ago,"OpenCart, HTML5, CSS3, JavaScript, Git, MySQL,PHP 57, Composer, OpenCart, HTML5, CSS3, JavaScript, Git, MySQL, PHP 57, Composer",https://www.shine.com/jobs/associate-software-engineer-php/makinus/17320500,ACTIVELY HIRING,,25-06-2025 10:31
Software Engineer  React & Ruby (Medical Platform),Qcentro,"Kerala, Thiruvananthapuram",1 to 5 Years,posted4 days ago,"JavaScript, Ruby on Rails, HTML5, CSS3, RESTful APIs, PostgreSQL, MySQL, MongoDB, Git,Reactjs, DOM manipulation, Reactjs workflows, Objectoriented programming, Automated testing suites, TDDBDD principles, Agile development methodologies, JavaScript, Ruby on Rails, HTML5, CSS3, RESTful APIs, PostgreSQL, MySQL, MongoDB, Git, Reactjs, DOM manipulation, Reactjs workflows, Objectoriented programming, Automated testing suites, TDDBDD principles, Agile development methodologies",https://www.shine.com/jobs/software-engineer-react-ruby-medical-platform/qcentro/17327831,ACTIVELY HIRING,,25-06-2025 10:31
Robotics Software Engineer  Advanced Robotics,Addverb Technologies,"Noida, Uttar Pradesh",0 to 4 Years,posted1 day ago,"Python, Robotics, Algorithms, Perception, Localization, Mapping, Navigation, Machine Learning,, Python, Robotics, Algorithms, Perception, Localization, Mapping, Navigation, Machine Learning, ",https://www.shine.com/jobs/robotics-software-engineer-advanced-robotics/addverb-technologies/17346090,ACTIVELY HIRING,,25-06-2025 10:31
Software Engineer,"xLM, LLC - Continuous Validation","Nashik, Maharashtra",0 to 4 Years,posted0 days ago,"Python, C, JavaScript, SQL, NoSQL, Git,, Python, C, JavaScript, SQL, NoSQL, Git, ",https://www.shine.com/jobs/software-engineer/xlm-llc-continuous-validation/17348114,ACTIVELY HIRING,,25-06-2025 10:31
Software Engineer,Swaayatt Robots,"Madhya Pradesh, Bhopal",0 to 3 Years,posted3 days ago,"Data Structures, Algorithms, Operating Systems,CC, Data Structures, Algorithms, Operating Systems, CC",https://www.shine.com/jobs/software-engineer/swaayatt-robots/17336707,ACTIVELY HIRING,,25-06-2025 10:31
