Title,Company,Location,Experience,Posted,Skills,URL,Hiring_Status,Salary,Scraped_At,Description,department,industry,education,recruiter_details,job_tags,job_type,Details_Scraped_At
Software Engineer Fresher,Karnataka Information Solution,"Bangalore, Chennai+1",0 to 4 Years,posted1 week ago,"css, javascript, html, web designing, jquery, asp.net, hibernate, python, java,, css, javascript, html, web designing, jquery, asp.net, hibernate, python, java, ",https://www.shine.com/jobs/software-engineer-fresher/karnataka-information-solution/17280702,,,2025-06-25 10:40:26,"Job Description:We are hiring for Freshers Java, .Net, Android, Web DeveloperQualification : B.Tech / B.E / M.C.AExperience : 0 - 4 YearsSkills : Fresher, Java, Android, IOS Developer Javascript, Jquery, CSS, HTML, PHPSalary : Rs.5lakhs per Annumto 9LPACandidate Profile :Candidate should have:1. Strong programming skills2. Excellent problem-solving skills3. Excellent communication skills4. Good to have knowledge in Javascript/Jquery/CSS/HTML/PHP etc.Contact :Mr Vasanthhidden_mobile",Web / Mobile TechnologiesApplication Programming / Maintenance,IT Services & Consulting,Graduation,Karnataka Information Solution,java,Full time,2025-06-25 10:40:28
Software Engineer,AppSoft Solutions,"Bangalore,Delhi,Mumbai City,Noida,Pune",0 to 4 Years,posted3 days ago,"java, sql server, azure, aws, spring boot, sql, core java, pl/sql,, java, sql server, azure, aws, spring boot, sql, core java, pl/sql, ",https://www.shine.com/jobs/software-engineer/appsoft-solutions/16949226,,,2025-06-25 10:40:28,"At Appsoft Solutions, our technology solves problems. Weve established the company as a leading developer of innovative software solutions, and were looking for a highly skilled software engineer to join our program and network design team. The ideal candidate will have expert knowledge of software development processes, along with solid experience in testing and evaluating current networking systems. This person should be highly motivated in finding technical issues and fixing them with meticulous code.Objectives of this roleEnhance existing platform and network capabilities to handle massive growth, enabling new insights and products based on data via self-serve computing, reporting solutions, and interactive queryingVisualize, design, and develop innovative software platforms as we continue to experience growth in the usage and visibility of our productsCreate scalable software platforms and applications, as well as efficient networking solutions, that are unit tested, code reviewed, and checked regularly for continuous integrationExamine existing systems for flaws and create solutions that improve service uptime and time-to-resolve through monitoring and automated remediationPlan and execute full software development lifecycle for each assigned project, adhering to company standards and expectationsResponsibilitiesDesign and build tools and frameworks to automate the development, testing, deployment, and management of services and productsPlan and scale distributed software and applications, using synchronous and asynchronous design patterns, writing code, and delivering with urgency and qualityCollaborate with global team to produce project plans and analyze the efficiency and feasibility of project operations, leveraging global technology stack and making localized improvementsTrack, document, and maintain software and network system functionality, and leverage any opportunity to improve engineeringFocus on creating software and networking platforms that are free of faulty programming, and continuously keep developers in step without compromising site reliabilityWork with product managers and user-experience designers to influence the strategy and delivery of next-wave product features and system capabilitiesRequired skills and qualificationsFive or more years of experience as engineer of software and networking platformsSeven or more years of experience (professional and academic) with Java, Python, and C++Proven ability to document design processes, including development, testing, analytics, and troubleshootingExperience with rapid development cycles in a web-based environmentStrong ability in scripting and test automationDesire to continue professional growth through training and educationPreferred skills and qualificationsBachelors degree (or equivalent) in software engineering or information technologyWorking knowledge of relational databases as well as ORM and SQL technologiesProficiency with HTML5, CSS3, and content management systemsWeb application development experience with multiple frameworks, including Wicket, GWT, and Spring MVC",Application Programming / MaintenanceProduct Management,Software Product,,AppSoft Solutions,java,Full time,2025-06-25 10:40:30
Software Engineer Intern (Product),Teal India,All India,0 to 4 Years,posted1 week ago,"MongoDB, JS, TS,Nodejs, Expressjs, Nextjs, React, MongoDB, JS, TS, Nodejs, Expressjs, Nextjs, React",https://www.shine.com/jobs/software-engineer-intern-product/teal-india/17296027,ACTIVELY HIRING,Not Disclosed,2025-06-25 10:40:30,"At Teal India we're looking for a Software Engineer Intern (Product) to join our team.

Internship  Bengaluru - Indiranagar

About the Team

We are a small, fast-paced team of all-rounders who engineer solutions to a diverse set of problems. We build reliable systems that perform various functions across the product surface of our company. We value people who take ownership, navigate ambiguity, and care about making real progress.

About the Internship

As an intern you will:
 Learn and move fast (youll have lots of help but we expect initiative)
 Contribute ideas to improve user experience and products performance.
 Work across the stack: backend, frontend, applied AI (our stack includes MongoDB, Node.js, Express.js, and Next.js).
 Write maintainable, flexible code with empathy for your fellow developers.

What Were Looking For

Youll be a good fit if you:
 Have a strong grasp of software engineering fundamentals
 Are generally thoughtful and care about doing things well
 Can gather context on problems quickly
 Think in terms of both user experience and code
 Are comfortable with ambiguity and can figure things out
 Love building things  websites, tools, automations, side projects

Bonus: Experience with JS/TS, React, and building servers.

Based on performance during the internship, there is potential for conversion to a full-time role.

Apply for the job

Do you want to join our team as our new Software Engineer Intern (Product)  Then we'd love to hear about you!,",,IT Services & Consulting,,Teal India,,Full time,2025-06-25 10:40:33
Software Engineer(PHP Developer),Essence Group,All India,1 to 5 Years,posted0 days ago,"jQuery, Javascript, CSS, HTML, MySQL, Core PHP,PHP Framework CodeIgniter, jQuery, Javascript, CSS, HTML, MySQL, Core PHP, PHP Framework CodeIgniter",https://www.shine.com/jobs/software-engineerphp-developer/essence-group/17350351,ACTIVELY HIRING,Not Disclosed,2025-06-25 10:40:33,"APPLY HERE

Send your Updated Resume onhidden_emailOR

Upload Your Resume here

1. Software Engineer(PHP Developer):

Job Specifications:

1.Qualification: Minimum Graduate and above

2.Lenght of Experience: 1 or 2 years experiece.

3.Nature of Experience:Software Developent.

Job Descriptions:

Must have experience and knowledge in PHP Framework CodeIgniter.

Must have min.1 year relevant experience.

The applicant is expected to possess strong problem-solving skills, programming, testing and troubleshooting skills.

Must have knowledge of web services and serialization techniques like REST, SOAP, XML & JSON

Proficiency in PHP, jQuery, Javascript, CSS, HTML, MySQL

Should have very strong knowledge of Core PHP.,",,IT Services & Consulting,,Essence Group,php,Full time,2025-06-25 10:40:34
"Software Engineer, PhD, Early Career, Campus, 2025 Start",Google,"Maharashtra, Pune",0 to 4 Years,posted0 days ago,"C, Java, Python, multithreading, synchronization, performance analysis, reliability analysis, debugging, algorithms, architecture, artificial intelligence, compilers, database, data mining, machine learning, networking, systems, microcontrollers, SoC, device drivers, hardware, power management, performance optimization, file systems, firmware, x86 assembly,architecting distributed systems, developing distributed systems, concurrency, systems data analysis, visualization tools, code health, system health, diagnosis , resolution, software test engineering, UnixLinux, Kernel development, ARM processors, bootloading, system BIOS, hardwaresoftware integration, C, Java, Python, multithreading, synchronization, performance analysis, reliability analysis, debugging, algorithms, architecture, artificial intelligence, compilers, database, data mining, machine learning, networking, systems, microcontrollers, SoC, device drivers, hardware, power management, performance optimization, file systems, firmware, x86 assembly, architecting distributed systems, developing distributed systems, concurrency, systems data analysis, visualization tools, code health, system health, diagnosis, resolution, software test engineering, UnixLinux, Kernel development, ARM processors, bootloading, system BIOS, hardwaresoftware integration",https://www.shine.com/jobs/software-engineer-phd-early-career-campus-start/google/17353500,ACTIVELY HIRING,Not Disclosed,2025-06-25 10:40:34,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Bengaluru, Karnataka, India; Hyderabad, Telangana, India; Pune, Maharashtra, India.
Minimum qualifications:
 PhD degree in Computer Science, a related technical field, or equivalent practical experience.
 Experience coding in one of the following programming languages including but not limited to: C, C++, Java, or Python.
 Experience in one or more of the following: architecting or developing distributed systems, concurrency, multi-threading, or synchronization.

Preferred qualifications:
 Experience with performance, reliability, systems data analysis, visualization tools, or debugging.
 Experience in code and system health, diagnosis and resolution, and software test engineering.
 Research experience in algorithms, architecture, artificial intelligence, compilers, database, data mining, distributed systems, machine learning, networking, or systems.
 Experience with performance, reliability, systems data analysis, visualization tools, architecture, compilers, database, data mining, networking or systems.
 Experience with Unix/Linux, Kernel development, microcontrollers, SoC, device drivers, hardware, power management, ARM processors, performance optimization, file systems, bootloading, firmware, x86 assembly, system BIOS, or hardware/software integration.

About the job

Google Cloud's software engineers build the next-generation technologies that transform how billions of users connect, explore, and interact with information and each other. We're looking for engineers who bring fresh ideas across areas like information retrieval, distributed computing, large-scale system design, networking, data storage, security, AI, and natural language processingthe list keeps growing.

As a Software Engineer, youll work on projects critical to Google Clouds evolving needs, with the flexibility to move between teams and initiatives as both you and our business grow. You'll be empowered to think like an owner, proactively identifying customer needs, taking action, and driving innovation. We value engineers who are versatile, display leadership, and eagerly handle challenges across the full stack.

Within Google Cloud, the Machine Learning, Systems, and Cloud AI (MSCA) organization creates category-defining AI/ML capabilities built on Googles frameworks, infrastructure, and services. We design and manage the software, hardware, and ML systems infrastructure that power Google services like Search and YouTube, and Google Cloud products.

As a PhD Software Engineer in MSCA, your research expertise will help solve real-world problems at a massive scale. You'll collaborate on innovative projects in areas such as AI, ML, and distributed systems, contributing to products used by billions. With thousands of PhDs across Google, your academic background will be part of a strong community of researchers and engineers shaping the future of technology.

We prioritize security, efficiency, and reliability in everything we do, from developing TPUs to operating one of the worlds largest networks, while shaping the future of hyperscale computing.

Google Cloud accelerates every organizations ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Googles cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.

Responsibilities
 Write product or system development code. Participate in, or lead design reviews with peers and stakeholders to decide on available technologies.
 Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
 Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
 Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality. Lead and collaborate on team projects to carry out design, analysis, and development across the stack using your research expertise.
 Study, diagnose and resolve complex technical modeling and systems issues by analyzing the sources of the issues and the impact on quality.
,",,IT Services & Consulting,,Google,"machine learning, distributed systems, multithreading, python, artificial intelligence",Full time,2025-06-25 10:40:37
Software Engineer  ColdFusion,Neologix Software Solutions,"Kerala, Thiruvananthapuram",1 to 5 Years,posted4 days ago,"Coldbox, Fusebox, MySql,MSSQL, Coldbox, Fusebox, MySql, MSSQL",https://www.shine.com/jobs/software-engineer-coldfusion/neologix-software-solutions/17331374,ACTIVELY HIRING,Not Disclosed,2025-06-25 10:40:37,"Software Engineer  ColdFusion

Job Code: SECF/51

Designation: Software Engineer  ColdFusion

Experience: 1-3 years of experience

Location: Trivandrum

Requirement:
 1-3 yrs working exp. in Cold Fusion 9 or higher
 Knowledge of Cold Fusion Frameworks i.e. Coldbox, Fusebox etc
 Database knowledge in MSSQL, MySql,",,IT Services & Consulting,,Neologix Software Solutions,sql,Full time,2025-06-25 10:40:40
Software Engineers / Software Developers - Microsoft Technologies,Kott Software Pvt.Ltd,"Kochi, Kerala",1 to 5 Years,posted4 days ago,"Rest API, Stored procedures, SAAS,ASPnet, C development, Web API, Web Forms, Telerik RAD controls, Telerik Reporting, MSSQL Server, Query, Functions, Cloudbased applications, Rest API, Stored procedures, SAAS, ASPnet, C development, Web API, Web Forms, Telerik RAD controls, Telerik Reporting, MSSQL Server, Query, Functions, Cloudbased applications",https://www.shine.com/jobs/software-engineers-software-developers-microsoft-technologies/kott-software-pvtltd/17332417,ACTIVELY HIRING,Not Disclosed,2025-06-25 10:40:40,"Job Description

KOTT SOFTWARE PRIVATE LIMITED is a pioneer in offering client-centric, robust business solutions based on its enterprise solutions and applications and is acknowledged as a leader amongst its peers. Based on the growing demands of its global clientele, it has an established setup and applications development and support teams in Kochi.

The teams will handle its business applications portfolio in terms of product development, enhancements, new modules development, ongoing support, and maintenance, develop and deliver solutions for new initiatives and also participate in the application modernization program. Towards this, Kott Software is looking for highly skilled developers to contribute towards product development and meet client deliverables and new initiatives.

Roles and Responsibilities
 Software Application Development in an Agile Product development environment for niche domains/verticals.
 Adhering to Agile Project management methodologies and meeting product release schedules and client deliverables
 Understanding the functional requirements, application workflow, and review with peers
 Requirements Analysis and Design
 Development and Coding
 Adhering to coding standards, Unit Testing, and Integration Testing
 Participating actively in daily stand-up meetings, onsite and other internal meetings
 Communication with superiors on status/progress daily.

Desired Candidate Profile
 1-4 years of software application development experience in Microsoft Technologies
 Hands-on experience in ASP.net, C# development
 Experience in Web API, Integration Services, Rest API is an advantage.
 Experience in Web Forms is an advantage.
 Experience in Telerik RAD controls, and Telerik Reporting is a plus.
 Experience in working with MS-SQL Server (Query, Functions, Stored procedures, optimization)
 Proven ability to troubleshoot, debug and resolve issues
 Good communication and interpersonal skills
 Good understanding of the Software Development Life Cycle process
 General understanding or development exposure in SAAS / Cloud-based applications
 Candidates need to relate to an agile product development environment and have a product development mindset, unlike a project or maintenance service model.
 Team player spirit and willingness to take up challenges
 Have a strong passion for learning, perform, and grow in the development team

Perks and Benefits
 Best in the industry commensurate with relevant skills and competencies.
 Performance-based incentives for deserving candidates.
 Engagement with onsite US clients for deserving candidates having good product workflow and understanding.
 Technical-level involvement with global integration partners,",,IT Services & Consulting,,Kott Software Pvt.Ltd,rest api,Full time,2025-06-25 10:40:42
Software Engineer Intern,Indian Library,"Maharashtra, Thane",0 to 4 Years,posted4 days ago,"Python, HTML, CSS, Programming, Analytical skills,Computer Science principles, BackEnd Web Development, NextJS, Nodejs, React, Databases like SQLite, ObjectOriented Programming OOP, Problemsolving, Python, HTML, CSS, Programming, Analytical skills, Computer Science principles, BackEnd Web Development, NextJS, Nodejs, React, Databases like SQLite, ObjectOriented Programming OOP, Problemsolving",https://www.shine.com/jobs/software-engineer-intern/indian-library/17330568,ACTIVELY HIRING,Not Disclosed,2025-06-25 10:40:42,"Company Description

Indian Library, founded in 1999, aims to provide a ""House of Knowledge"" to upcoming generations, focusing on middle-class and needy students. It is the only library in India open 24/7 and has been recognized in the Limca Book of Records. Indian Library is a dedicated self-study space where students from all backgrounds come to concentrate on their academics. To date, the library has served over 25,000 students and continues to grow.

Role Description

Your job will be to develop a complete in-house Library Management Software.

Key Responsibilities:

Understand the requirements and functionalities of our existing library management system.

Design and develop a complete app for specific library management tasks (e.g., book search, issue/return, user account management).

Write clean, maintainable, and well-documented code.

Participate in design discussions and contribute innovative ideas.

Test and debug the application to ensure optimal performance and user experience.

Document the development process and features implemented.

You will have complete design and development freedom.

Qualifications
 Strong knowledge of Computer Science principles
 Proficiency in Back-End Web Development and Software Development
 Proficiency in Python, NextJS/Node.js/React, HTML & CSS, Databases like SQLite.
 Experience in Programming and Object-Oriented Programming (OOP)
 Excellent problem-solving and analytical skills
 Ability to work collaboratively in a team environment
 Currently pursuing Bachelor's degree in Computer Science, Software Engineering, or a related field.

This can be a really good summer project to put on your resume. This will be a Paid Internship and will last for 2 - 3 months.,",,Education / Training,,Indian Library,"python, web development, css",Full time,2025-06-25 10:40:44
Full Stack Software Engineer  Geospatial Platform,Qcentro,"Kerala, Thiruvananthapuram",1 to 5 Years,posted4 days ago,"Python, AWS, Data Processing, API Development, Database Systems, Troubleshooting, RESTful APIs, Git,Springboot, Vuejs, Geographic Information Systems GIS, Frontend Development, Backend Development, UIUX Design, Geospatial Algorithms, Data Processing Pipelines, AWS Cloud Infrastructure, Code Reviews, Software Development Lifecycle, GIS Tools , Libraries, PostgreSQL with PostGIS, Cloud Platforms, Map Projections, Spatial Analysis Techniques, Python, AWS, Data Processing, API Development, Database Systems, Troubleshooting, RESTful APIs, Git, Springboot, Vuejs, Geographic Information Systems GIS, Frontend Development, Backend Development, UIUX Design, Geospatial Algorithms, Data Processing Pipelines, AWS Cloud Infrastructure, Code Reviews, Software Development Lifecycle, GIS Tools, Libraries, PostgreSQL with PostGIS, Cloud Platforms, Map Projections, Spatial Analysis Techniques",https://www.shine.com/jobs/full-stack-software-engineer-geospatial-platform/qcentro/17332294,ACTIVELY HIRING,Not Disclosed,2025-06-25 10:40:44,"Job Requisition Document

Job Title: Software Engineer  Full Stack (Geospatial)

Location: Thiruvananthapuram, Kerala

About Us: Our success is driven by our ability to consistently deliver world-class, high-quality talent, particularly in the areas of precision engineering, assembly line operations, and other skilled manpower across diverse industrial domains. Among our esteemed clients is a listed Japanese company that is set to begin its operations in Technopark, Thiruvananthapuram, further reinforcing our standing as a premier recruitment partner in the region.

Job Summary: We are seeking a highly skilled and motivated Full Stack Software Engineer to join our dynamic multinational team, specializing in the Geospatial domain (Location-Based Services - LBS, Geographic Information Systems - GIS). This role focuses on the development and enhancement of sophisticated geospatial platforms and applications. The ideal candidate will possess strong expertise in a range of technologies including Java, Springboot, Python, Vue.js, and AWS cloud services, coupled with a passion for building high-quality, scalable, and impactful software solutions that leverage geographic data and spatial analysis.

Responsibilities:

 Design, develop, test, deploy, and maintain robust and scalable web applications and services for geospatial data processing, visualization, and analysis, utilizing Vue.js for front-end and Java (with Springboot), Python for back-end development.  Collaborate effectively with cross-functional, multinational teams including product managers, GIS analysts, data scientists, and other engineers to deliver high-quality geospatial software solutions.

 Develop and integrate user-facing mapping interfaces and geospatial tools with server- side logic, ensuring seamless performance and intuitive user experience.

 Build reusable components and front-end libraries for geospatial applications (Vue.js).

 Develop and maintain efficient, reusable, and reliable code in Java, Python for geospatial algorithms, data processing pipelines, and API development.

 Ensure the technical feasibility of UI/UX designs for geospatial applications, providing constructive feedback on map interactions and data display.

 Optimize applications for maximum speed, scalability, and responsiveness, particularly when handling large geospatial datasets.

 Implement robust security and data protection measures, considering the sensitivity of location data.

 Design, manage, and optimize AWS cloud infrastructure for hosting and scaling geospatial applications and services (e.g., using EC2, S3 for raster/vector tiles, RDS with PostGIS, Lambda for geoprocessing tasks).

 Work with various geospatial data formats (e.g., GeoJSON, Shapefile, KML, GeoTIFF) and database systems (e.g., PostgreSQL/PostGIS).

 Participate actively in code reviews to maintain code quality, share knowledge, and foster a collaborative development environment.

 Troubleshoot, debug, and upgrade existing geospatial software, ensuring platform stability and performance.

 Contribute to all phases of the software development lifecycle, from concept and design through testing and deployment on cloud platforms like AWS.

 Stay updated with emerging technologies in GIS, LBS, new AWS services relevant to geospatial data, and industry best practices to drive innovation. Mandatory Technical Skills,

Experience: 1 to 5 Years relevant experience

 Proven experience as a Software Engineer with a focus on geospatial applications.  Experience with front-end frameworks like Vue.js and its core principles.

 Strong proficiency in Java and experience with the Springboot framework.

 Strong skills in Python, particularly with libraries used in geospatial analysis and data manipulation (e.g., GeoPandas, Shapely, Rasterio).

 Solid understanding of object-oriented programming principles.

 Experience with front-end technologies such as HTML5, CSS3, and responsive design.  Familiarity with RESTful APIs and web services, including OGC standards (WMS, WFS, WPS).

 Experience with database technologies, especially PostgreSQL with PostGIS extension.

 Proficient understanding of code versioning tools, such as Git.

 Solid experience with cloud platforms, particularly AWS (including services like EC2, S3, RDS, Lambda, API Gateway, Location Service).

 Experience with GIS tools and libraries (e.g., QGIS, ArcGIS APIs, GeoServer, MapServer, Leaflet, OpenLayers, Mapbox GL JS).

 Understanding of core GIS concepts, map projections, coordinate systems, and spatial analysis techniques.

Additional (Nice to have) Skills:

 Experience with other front-end frameworks like React.js.

 Familiarity with other cloud platforms (e.g., Azure, Google Cloud) and their geospatial offerings.

 Experience with Big Data technologies for geospatial data (e.g., Spark, Hadoop).

 Knowledge of mobile development (iOS/Android) for LBS applications.

 Experience with containerization technologies like Docker and orchestration tools like Kubernetes.

 Understanding of CI/CD pipelines and associated tools (e.g., Jenkins, GitLab CI).

 Experience with 3D GIS and visualization. Behavioral Skills (1 st 3 skills below are mandatory only for Senior role):

 Leadership Potential: Demonstrated ability or strong potential to guide and support a small team, fostering a collaborative and productive environment. This includes providing guidance, mentoring junior team members and delegating tasks effectively.

 Communication Excellence: Exceptional verbal and written communication skills, with the ability to clearly and concisely convey technical information to both technical and non- technical audiences, including clients.

 Client Relationship Management: Ability to build and maintain positive relationships with clients, understand their needs and expectations and proactively address any concerns.

 Problem-Solving and Analytical Thinking: Strong analytical and problem-solving skills with the ability to identify root causes of issues, evaluate different solutions and implement effective resolutions, both independently and within a team.

 Adaptability and Flexibility: Ability to adapt to changing project requirements, client demands and work environments.

 Collaboration and Teamwork: Proven ability to work effectively within a team, contributing positively to team goals, sharing knowledge and supporting colleagues.

 Ownership and Accountability: Takes ownership of assigned tasks and responsibilities, demonstrates a strong sense of accountability for delivering high-quality work within deadlines.

 Proactiveness and Initiative: Demonstrates a proactive approach to work, identifying potential issues or opportunities for improvement and taking initiative to address them.

 Professionalism and Integrity: Maintains a high level of professionalism, ethical conduct and integrity in all interactions, both internally and with clients.

 Time Management and Organization: Excellent time management and organizational skills, with the ability to prioritize tasks, manage workload effectively and meet deadlines in a fast-paced environment.

Education:Bachelor's degree in Computer Science/Electronics/Electrical Engineering. Salary: Best in the Market

Job Type: Permanent

Experience:
 Full Stack Software Engineer  Geospatial Platform: 1 year (Required)

Work Location: In person,",,IT Services & Consulting,,Qcentro,"api development, algorithms, java",Full time,2025-06-25 10:40:46
